name,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Grand Total,U-5,E-2C,CW-1,CW-2,Year,latitude,longitude
Tanzania,23,11,2,331,719,1184,0,0,27,5,0,1,22,0,0,0,0,0,0,556,33,0,41,63,0,73,5,0,36,0,0,0,0,0,1,9,1,196,18,4,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391,,,,,1997,-6.369028,34.888822
Togo,19,27,8,18,540,177,0,0,29,0,0,8,9,0,0,0,0,0,0,83,5,0,10,38,0,28,8,0,6,0,0,0,1,0,0,0,0,27,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,,,,,1997,8.619543,0.824782
Tunisia,58,198,4,95,3327,3235,9,0,12,39,0,0,49,0,0,0,0,0,0,148,4,0,22,59,0,51,7,0,28,0,0,0,0,0,0,11,1,108,24,2,0,0,0,9,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7630,,,,,1997,33.886917,9.537499
Uganda,34,95,7,14,1476,233,0,0,9,41,0,4,2,0,0,0,0,0,0,224,25,0,13,54,0,85,1,0,15,0,0,0,0,0,0,1,1,114,25,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2510,,,,,1997,1.373333,32.290275
Zambia,21,64,2,8,1254,186,0,0,7,2,0,0,11,0,0,0,0,0,0,180,13,0,43,44,0,41,5,0,8,0,0,0,0,0,0,9,1,118,9,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,,,,,1997,-13.133897,27.849332
Zimbabwe,50,127,6,33,3532,205,0,0,8,19,0,1,4,0,0,0,0,0,0,446,61,0,25,95,0,103,8,1,48,0,0,0,2,0,0,28,6,140,26,3,0,0,0,8,10,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032,,,,,1997,-19.015438,29.154857
Afghanistan,0,1,1,46,361,1451,0,0,17,0,0,0,0,0,0,0,0,0,0,13,3,0,3,6,4,14,1,0,3,0,0,0,1,0,0,4,0,8,3,58,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,,,,,1997,33.93911,67.709953
Bahrain,15,257,0,4,1229,1102,0,0,1,45,0,0,4,0,0,0,0,0,0,214,17,0,6,12,0,2,0,0,3,0,0,0,0,0,0,1,0,21,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2948,,,,,1997,25.930414,50.637772
Bangladesh,24,219,24,569,3870,5221,0,0,69,680,0,17,2,0,0,0,0,0,0,752,125,0,43,113,0,197,22,0,302,0,0,0,6,0,0,167,5,126,64,6,0,0,0,13,29,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12688,,,,,1997,23.684994,90.356331
Bhutan,0,12,0,20,43,61,0,0,0,3,0,0,6,0,0,0,0,0,0,19,0,0,0,25,0,11,4,0,0,0,0,0,0,0,0,1,0,7,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,,,,,1997,27.514162,90.433601
